id_curso;nombre;tipo;creditos;id_ciclo;t_aprobacion
201001;ALGORÍTMICA I;O;4;2;0.7408406162211733
201003;CALCULO I;O;4;2;1.0
201004;MATEMÁTICA BÁSICA I;O;4;2;0.7408406162211733
201007;COMPUTACIÓN E INFORMÁTICA;O;4;2;0.7408406162211733
201008;TEORIA DE SISTEMAS;O;3;2;0.7408406162211733
201009;TALLER DE TECNICAS DE ESTUDIO;O;3;2;0.7408406162211733
202001;ALGORÍTMICA II;O;4;3;0.2
202003;CÁLCULO II;O;4;3;0.4
202004;MATEMÁTICA BÁSICA II;O;4;3;0.5
202007;FISICA GENERAL;O;4;3;0.75
202008;ESTRUCTURA DE DATOS;O;4;3;0.2
202009;ECONOMIA;O;2;3;0.7408406162211733
203001;ALGORÍTMICA III;O;4;4;0.6666666666666666
203004;MATEMÁTICA DISCRETA;O;4;4;0.3333333333333333
203005;ESTADÍSTICA I;O;4;4;0.42857142857142855
203006;DISEÑO GRÁFICO;O;3;4;0.7408406162211733
203007;ELECTROMAGNETISMO;O;3;4;0.3333333333333333
203008;ORGANIZACIÓN Y ADMINISTRACIÓN;O;3;4;1.0
204001;TÉCNICAS DE MODELAMIENTO;O;4;5;0.8333333333333334
204002;COMPUTACIÓN GRÁFICA;O;4;5;0.8
204004;ECUACIONES DIFERENCIALES;O;4;5;0.36363636363636365
204006;ESTADISTICA II;O;4;5;0.7408406162211733
204007;CIRCUITOS DIGITALES;O;4;5;0.7408406162211733
204008;CONTABILIDAD GENERAL;O;2;5;1.0
205001;BASE DE DATOS;O;4;6;0.21428571428571427
205006;MÉTODOS NUMÉRICOS;O;3;6;0.38461538461538464
205007;INVESTIGACIÓN OPERATIVA I;O;4;6;0.4166666666666667
205008;SISTEMAS DIGITALES;O;4;6;0.6666666666666666
205009;LENGUAJES Y TRADUCTORES;O;3;6;0.05
205010;CONTABILIDAD GERENCIAL;O;3;6;0.3333333333333333
206001;SISTEMAS OPERATIVOS;O;4;7;0.6428571428571429
206007;ANÁLISIS DE SISTEMAS;O;4;7;0.5625
206008;INVESTIGACIÓN OPERATIVA II;O;4;7;0.3333333333333333
206009;TRANSMISIÓN DE DATOS;O;4;7;0.35714285714285715
206010;ARQUITECTURA DE COMPUTADORAS;O;4;7;0.55
206011;TALLER DE PROYECTOS I;O;3;7;0.4444444444444444
207002;REDES DE COMPUTADORAS;O;4;8;0.5882352941176471
207003;DISEÑO DE SISTEMAS;O;4;8;0.4166666666666667
207007;DISEÑO DE INTERFACE DE USUARIO;O;3;8;0.7142857142857143
207008;INTELIGENCIA ARTIFICIAL;O;4;8;0.7272727272727273
207009;MODELOS Y SIMULACIÓN;O;4;8;0.7692307692307693
207010;INGENIERÍA ECONÓMICA;O;3;8;0.8181818181818182
208001;INGENIERIA DE INFORMACION;O;4;9;0.8148148148148148
208003;SISTEMAS DISTRIBUIDOS;O;4;9;0.6571428571428571
208007;INGENIERÍA DE SOFTWARE;O;4;9;0.9130434782608695
208008;METODOLOGÍA PARA LA ELABORACIÓN DE TESIS;O;2;9;0.4647887323943662
208009;TALLER DE PROYECTOS II;O;3;9;0.8166666666666667
208010;INGENIERÍA DE CONTROL;O;4;9;0.7647058823529411
209001M;AUDITORÍA Y SEGURIDAD EN INFORMÁTICA;O;3;10;0.7408406162211733
209003;INGENIERIA DE NEGOCIOS;O;2;10;0.95
209005M;MARKETING;O;2;10;0.7408406162211733
209006;DERECHO INFORMÁTICO;O;2;10;0.8490566037735849
209007;PROYECTO DE TESIS I;O;3;10;0.5921052631578947
209008;FORMULACIÓN Y EVALUACIÓN DE PROYECTOS;O;3;10;0.7894736842105263
201101;GERENCIA INFORMÁTICA;O;3;11;0.7638888888888888
201103;TENDENCIAS TECNOLÓGICAS;O;3;11;0.8936170212765957
201104;GESTION DE PROYECTOS INFORMATICOS;O;3;11;0.9032258064516129
201105;PROYECTO DE TESIS II;O;3;11;0.6272727272727273
201106;SEMINARIO DE LA REALIDAD PERUANA;O;2;11;0.9032258064516129
201203M;DATAWAREHOUSE;E;2;1;0.7408406162211733
201204;SISTEMAS INTELIGENTES;E;2;1;0.4
201205;COMERCIO ELECTRÓNICO;E;3;1;0.6470588235294118
201206;REDES NEURONALES;E;2;1;0.42857142857142855
201207;GESTIÓN DEL CONOCIMIENTO;E;2;1;0.7777777777777778
201208;LIDERAZGO EMPRESARIAL;E;2;1;1.0
201209;ROBÓTICA;E;2;1;0.7408406162211733
201210;DISEÑO DE UNA ARQUITECTURA WEB;E;2;1;0.5714285714285714
201211;PLANEAMIENTO DE RECURSOS EMPRESARIALES;E;2;1;0.6451612903225806
2010101;TEORIA GENERAL DE SISTEMAS;O;3;13;1.0
2010102;COMUNICACIÓN Y DINAMICA GRUPO;O;2;13;1.0
2010103;INTRODUCCIÓN A LA COMPUTACIÓN;O;4;13;1.0
2010104;CÁLCULO I;O;4;13;0.6666666666666666
2010105;MATEMÁTICA BÁSICA I;O;4;13;1.0
2010106;ETICA DE LA PROFESION;O;2;13;1.0
2010107;ESTRATEGIAS DE APRENDIZAJE E INVESTIGACIÓN;O;2;13;1.0
2010201;ECONOMIA;O;2;14;0.875
2010202;CREATIVIDAD Y LIDERAZGO;O;2;14;1.0
2010203;ALGORITMICA I;O;4;14;0.5357142857142857
2010204;CÁLCULO II;O;4;14;0.3333333333333333
2010205;FISICA GENERAL I;O;4;14;0.45714285714285713
2010206;MATEMATICA BASICA II;O;4;14;0.72
2010207;REALIDAD NACIONAL;O;2;14;0.8461538461538461
2010301;ORGANIZACIÓN Y ADMINISTRACIÓN;O;2;15;0.7083333333333334
2010302;ALGORÍTMICA II;O;4;15;0.3230769230769231
2010303;CÁLCULO III;O;4;15;0.4782608695652174
2010304;PROBABILIDADES Y ESTADÍSTICA;O;4;15;0.55
2010305;FISICA GENERAL II;O;4;15;0.5070422535211268
2010306;MATEMÁTICA DISCRETA;O;4;15;0.8591549295774648
2010401;PROCESOS DE NEGOCIOS;O;4;16;0.6744186046511628
2010402;ESTRUCTURA DE DATOS;O;4;16;0.6842105263157895
2010403;CONTABILIDAD GENERAL;O;2;16;0.8947368421052632
2010404;SERIES Y ECUACIONES DIFERENCIALES;O;3;16;0.7281553398058253
2010405;LENGUAJES Y COMPILADORES;O;3;16;0.3135593220338983
2010406;SISTEMAS DIGITALES;O;4;16;0.8823529411764706
2010501;ANÁLISIS DE SISTEMAS DE INFORMACIÓN;O;3;17;0.7910447761194029
2010502;BASE DE DATOS I;O;4;17;0.7298578199052133
2010503;INGENIERÍA ECONÓMICA;O;2;17;0.8702928870292888
2010504;MÉTODOS NUMERICOS;O;3;17;0.7211538461538461
2010505;ALGORÍTMICA III;O;3;17;0.8315217391304348
2010506;ARQUITECTURA DE COMPUTADORAS;O;3;17;0.8285714285714286
2010507;SISTEMAS OPERATIVOS;O;3;17;0.8238993710691824
2010601;DISEÑO DE SISTEMAS DE INFORMACIÓN;O;3;18;0.6918604651162791
2010602;BASE DE DATOS II;O;3;18;0.9112903225806451
